date,d_gross_reserves_usd_m,d_exports_usd_m,d_imports_usd_m,d_remittances_usd_m,d_usd_lkr,ect_lag1,split
2009-02-01,228.0,33.125974994898456,-76.30221192927854,-16.673754476076397,0.3340999999999923,-745.9704890246906,train
2009-03-01,228.0,107.75310841746739,417.2450798624337,39.9431660336017,0.1810000000000116,-1023.8006819041365,train
2009-04-01,228.0,-194.37901677339966,-402.910672030372,-15.021393038620204,3.0231999999999886,-2492.168118118378,train
2009-05-01,228.0,100.83056418381267,152.7196746709344,9.2457361116696,-0.6347999999999985,906.6207194141816,train
2009-06-01,228.0,26.757644661456197,71.73346407314227,4.979307416282438,-1.8614999999999924,-462.2263579534554,train
2009-07-01,228.0,87.02654559672658,94.18007785009252,19.643158737526846,-0.010300000000000864,-717.4263474344775,train
2009-08-01,228.0,58.125611204837696,-97.19170140446852,-8.469857030056403,-0.08540000000000703,-1820.674229877629,train
2009-09-01,228.0,-142.1299870229326,-38.46197751253521,-5.014861129096801,0.05190000000000339,-2477.463617396381,train
2009-10-01,228.0,60.428028761971404,239.33189469463332,5.757087325567852,0.017099999999999227,-60.023051947413684,train
2009-11-01,229.0,-15.670921241568067,-108.24012198854666,-30.81593121786858,-0.2985000000000042,-815.1731839689589,train
2009-12-01,228.0,110.38829141873612,157.65576886950112,33.354405920816646,-0.20169999999998822,-377.17808056645464,train
2010-01-01,153.0,-66.90120192007475,145.27918318366665,18.186338916231307,0.07529999999999859,-1840.1441482118842,train
2010-02-01,154.0,26.55642910298002,-264.21224289875136,-3.043344888457284,0.1490000000000009,-664.4386798492953,train
2010-03-01,153.0,72.90734649508784,3.0227859047117818,63.14891536114425,-0.4040000000000106,-848.428852661994,train
2010-04-01,154.0,-260.4305275276888,25.503691750896223,-33.509941641514786,-0.27530000000000143,-1725.780892706904,train
2010-05-01,153.0,63.14444051851842,48.594993909579216,-36.68453443953433,-0.12609999999999388,2361.879455699974,train
2010-06-01,153.0,65.84313006862101,63.051843914710616,40.8539042321305,-0.1419999999999959,1465.7574020857387,train
2010-07-01,154.0,254.7850905597884,9.93118319892551,-0.8717406306687394,-0.6034000000000077,652.5314258035626,train
2010-08-01,153.0,-76.1844211233041,-20.02595146543331,-10.519327881998436,-0.560299999999998,-3135.58077286685,train
2010-09-01,154.0,-89.50774046050412,-13.206390646056661,13.237889201988366,-0.09390000000000498,-1841.3714694822959,train
2010-10-01,153.0,218.86249663626245,147.84397660303716,30.301157761241086,-0.6358999999999924,-288.3963026579852,train
2010-11-01,154.0,-140.02194252879974,-125.16516050874634,-10.176918160308617,-0.15149999999999864,-3511.2018595325794,train
2010-12-01,153.0,-61.57588682242147,315.7290835311064,3.8125293737131756,-0.5074000000000041,-1192.2277332097897,train
2011-01-01,-38.0,192.13369960032276,139.18761162169858,7.339985334634775,-0.1881000000000057,-186.8735108355736,train
