date,banking_beta,equity_returns_inv,equity_volatility,debt_spread,empi,fsi_variance_equal,banking_beta_std,equity_returns_inv_std,equity_volatility_std,debt_spread_std,empi_std
2005-01-01,,,,,,0.0,,0,,,
2005-02-01,,,,,,0.0,,0,,,
2005-03-01,,,,,,0.0,,0,,,
2005-04-01,,,,,,0.0,,0,,,
2005-05-01,,,,,,0.0,,0,,,
2005-06-01,,,,,,0.0,,0,,,
2005-07-01,,,,,,0.0,,0,,,
2005-08-01,,,,,,0.0,,0,,,
2005-09-01,,,,,,0.0,,0,,,
2005-10-01,,,,,,0.0,,0,,,
2005-11-01,,,,,,0.0,,0,,,
2005-12-01,,,,,,0.0,,0,,,
2006-01-01,,,,,0.0,-0.0009069113677376875,,0,,,-0.001813822735475375
2006-02-01,,,,,0.20816290218226463,0.06639946877220457,,0,,,0.13279893754440913
2006-03-01,,,,,0.0703504724533941,0.02183986816085836,,0,,,0.04367973632171672
2006-04-01,,,,,-0.142882024388453,-0.04710569005421714,,0,,,-0.09421138010843429
2006-05-01,,,,,-0.048380315390912365,-0.016549967190142924,,0,,,-0.03309993438028585
2006-06-01,,,,,0.09943402053764672,0.03124360111546056,,0,,,0.06248720223092112
2006-07-01,,,,,0.08528281269231353,0.026668018412240164,,0,,,0.05333603682448033
2006-08-01,,,,,-0.06661768777197241,-0.022446750456349196,,0,,,-0.04489350091269839
2006-09-01,,,,,-0.11823290809830245,-0.039135764703705465,,0,,,-0.07827152940741093
2006-10-01,,,,,0.09832418762975637,0.030884753142035974,,0,,,0.06176950628407195
2006-11-01,,,,,0.152471560720843,0.048392501346165614,,0,,,0.09678500269233123
2006-12-01,,,,,-0.12994922436803358,-0.042924061409906455,,0,,,-0.08584812281981291
2007-01-01,,,,,-0.28437713934817666,-0.09285603219292024,,0,,,-0.18571206438584048
2007-02-01,,,,,-0.19393546921143434,-0.06361306254319427,,0,,,-0.12722612508638853
2007-03-01,,,,,-0.14385396038115505,-0.047419951109912935,,0,,,-0.09483990221982587
2007-04-01,,,,,-0.028309657342532102,-0.010060418254664218,,0,,,-0.020120836509328437
2007-05-01,,,,,-0.10495681608477536,-0.034843137696358537,,0,,,-0.06968627539271707
2007-06-01,,,,,-0.08700682648196723,-0.029039275379639025,,0,,,-0.05807855075927805
2007-07-01,,,,,-0.07339901830333084,-0.02463939288116784,,0,,,-0.04927878576233568
2007-08-01,,,,,-0.06269235460056688,-0.0211775523243054,,0,,,-0.0423551046486108
2007-09-01,,,,,0.024524459936190457,0.007022708203701269,,0,,,0.014045416407402539
2007-10-01,,,,,-0.05392296386409434,-0.01834210018409693,,0,,,-0.03668420036819386
2007-11-01,,,,,-0.04716778704433455,-0.016157914173156426,,0,,,-0.03231582834631285
2007-12-01,,,,,-0.041353272954827824,-0.01427787747336673,,0,,,-0.02855575494673346
2008-01-01,,,,,3.451717483780331,1.1151546282412046,,0,,,2.230309256482409
2008-02-01,,,,,2.227551465930052,0.7193387432393372,,0,,,1.4386774864786744
2008-03-01,,,,,1.63106909823169,0.5264750361801105,,0,,,1.052950072360221
2008-04-01,,,,,1.3805808184374748,0.4454833743437101,,0,,,0.8909667486874202
2008-05-01,,,,,1.2063033921894828,0.38913335914942015,,0,,,0.7782667182988403
2008-06-01,,,,,1.0963636546838178,0.353585979249025,,0,,,0.70717195849805
2008-07-01,,,,,1.0482568256272347,0.3380313511675307,,0,,,0.6760627023350614
2008-08-01,,,,,0.9827723811437996,0.3168579294509376,,0,,,0.6337158589018752
2008-09-01,,,,,0.9621909678693952,0.3102032354053511,,0,,,0.6204064708107022
2008-10-01,,,,,0.9466298663953134,0.30517178455493155,,0,,,0.6103435691098631
2008-11-01,,,,,0.9660201841641927,0.31144135557409297,,0,,,0.6228827111481859
2008-12-01,,,,,0.9861674588687226,0.31795567736645347,,0,,,0.6359113547329069
2009-01-01,,,,,-3.9731730049897505,-1.285573342475849,,0,,,-2.571146684951698
2009-02-01,,,,,-2.5388503409544008,-0.821806429847154,,0,,,-1.643612859694308
2009-03-01,,,,,-1.7762295400262493,-0.5752243300023211,,0,,,-1.1504486600046422
2009-04-01,,,,,-1.2904744416628342,-0.4181626395540573,,0,,,-0.8363252791081146
2009-05-01,,,,,-0.9624830286717778,-0.3121114916598784,,0,,,-0.6242229833197568
2009-06-01,,,,,-0.7278746183612712,-0.2362543495714172,,0,,,-0.4725086991428344
2009-07-01,,,,,-0.5425842909344132,-0.17634347648449777,,0,,,-0.35268695296899555
2009-08-01,,,,,-0.3916187144865704,-0.1275310013992531,,0,,,-0.2550620027985062
2009-09-01,,,,,-0.2749623750874839,-0.08981190811694395,,0,,,-0.1796238162338879
2009-10-01,,,,,-0.1835307813293967,-0.060248861379181375,,0,,,-0.12049772275836275
2009-11-01,,,,,-0.10288433925747364,-0.03417303312101276,,0,,,-0.06834606624202552
2009-12-01,,,,,-0.030876005248026694,-0.010890208701894446,,0,,,-0.02178041740378889
2010-01-01,,,,,-1.4057405928234141,-0.45543223613418715,,0,,,-0.9108644722683743
2010-02-01,,,,,-1.377869030213139,-0.44642038066678574,,0,,,-0.8928407613335715
2010-03-01,,,,,-1.3431893041334328,-0.4352072067429038,,0,,,-0.8704144134858076
2010-04-01,,,,,-1.3131621299572467,-0.4254983663182009,,0,,,-0.8509967326364019
2010-05-01,,,,,-1.2874162644709242,-0.4171738234179632,,0,,,-0.8343476468359264
2010-06-01,,,,,-1.2551512413307158,-0.40674140779571444,,0,,,-0.8134828155914289
2010-07-01,,,,,-1.2272244344585124,-0.39771168991740835,,0,,,-0.7954233798348167
2010-08-01,,,,,-1.203304592242462,-0.389977564498311,,0,,,-0.779955128996622
2010-09-01,,,,,-1.1731311986560577,-0.38022144620082293,,0,,,-0.7604428924016459
2010-10-01,,,,,-1.1470244203818105,-0.37178020751547286,,0,,,-0.7435604150309457
2010-11-01,,,,,-1.1246862634781811,-0.36455749653085706,,0,,,-0.7291149930617141
2010-12-01,,,,,-1.0963389181707086,-0.35539180380068763,,0,,,-0.7107836076013753
2011-01-01,,,,,-0.7302437920929761,-0.23702038668048897,,0,,,-0.47404077336097794
2011-02-01,,,,,-0.6918608678911029,-0.22460983869076184,,0,,,-0.4492196773815237
2011-03-01,,,,,-0.6586677050345466,-0.21387732288775757,,0,,,-0.42775464577551514
2011-04-01,,,,,-0.6031880475990969,-0.1959388003448955,,0,,,-0.391877600689791
2011-05-01,,,,,-0.6008991661955546,-0.19519872456661308,,0,,,-0.39039744913322616
2011-06-01,,,,,-0.5687018186388574,-0.18478819083831488,,0,,,-0.36957638167662976
2011-07-01,,,,,-0.5409076567179864,-0.1758013617332937,,0,,,-0.3516027234665874
2011-08-01,,,,,-0.5173060978316633,-0.16817014849767503,,0,,,-0.33634029699535006
2011-09-01,,,,,-0.4917040771452916,-0.15989211567529055,,0,,,-0.3197842313505811
2011-10-01,,,,,-0.4371386450131383,-0.14224919429455746,,0,,,-0.2844983885891149
2011-11-01,,,,,-0.44009380639534695,-0.1432047017998845,,0,,,-0.286409403599769
2011-12-01,,,,,-0.42034223601210974,-0.13681832511778494,,0,,,-0.2736366502355699
2012-01-01,,,,,3.2384214902325974,1.0461885393101407,,0,,,2.0923770786202813
2012-02-01,,0.0667992299336646,,,2.9370280643726385,0.9487374551834983,,0,,,1.8974749103669966
2012-03-01,,0.03814124607845848,,,2.735493896858011,0.8835743778641333,,0,,,1.7671487557282666
2012-04-01,,0.013061929961784458,,,2.541748694839532,0.8209297467572526,,0,,,1.6418594935145052
2012-05-01,,-0.003415355020694122,,,2.3643899917748232,0.7635834465065565,,0,,,1.527166893013113
